titles,distros,department,time,location,professor,description,courseNum,meet
"Exhibiting Africa: History, Theory, and Praxis",ART CMP HIS SAF ,History of Art & Architecture ,11:15am-12:30pm,"Mahaney Center for the Arts 126 (MAC 126)
		",,"
In this seminar, we will explore the (im)possibilities of representing Africa’s arts in museums. Through readings, images, websites, discussions, and museum visits, we will survey Euro-America’s shifting valuation of artworks from Africa from the late 19th century to the present and the implications for installation and interpretation. We will consider recent curatorial strategies to address the challenges of representing African art in museums, examining the categories of contemporary vs. “traditional” art, questions of authenticity, the art market’s influence on museum collections, issues of provenance and repatriation, and efforts to decolonize the museum. Culminating in an imaginary exhibit, the course probes the past and the present to introduce students to the theoretical and practical aspects of museology. ",HARC0366A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
AS/Habitat for Humanity Housing Unit: Construction Documents,,History of Art & Architecture ,1:30pm-4:15pm,"Johnson Memorial Building 201 (JHN 201)
		",Sam Ostrow ,"
Architectural Studies at Middlebury partners with Habitat for Humanity of Addison County for the design and realization of high-quality, energy-efficient, and affordable housing. The objective of this interdisciplinary studio course is to finalize and generate the construction documentation for the housing unit design generated in HARC 0371 & HARC 0372. A schedule of deliverables with an accompanying set of deadlines will need to be met to allow for construction to start in spring 2021. The studio components include final architectural and constructional detailing; building code compliance; building permitting finalization; physical and CAD modeling; structural coordination; and construction specifications.  Students should expect a substantial amount of work outside of class time. (Approval Required) (formerly INTD 0274) ",HARC0373A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Senior Thesis Research Seminar,,History of Art & Architecture ,9:45am-11:00am,"Mahaney Center for the Arts 126 (MAC 126)
		",Carrie Anderson ,"
In this course students will conceive, undertake research, and plan the organization of their senior thesis in art history or senior museum studies projects.  Seminar discussions and workshops will focus on research strategies, conventions in art historical writing, project design, and public presentation skills. (HARC 0301; Approval Required) 3 hr. sem. ",HARC0710A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Thesis in Architectural Studies: Research,,History of Art & Architecture ,1:30pm-4:15pm,"Johnson Memorial Building 203 (JHN 203)
		",John McLeod ,"
This studio course constitutes the first part of the two-term senior design project in Architectural Studies.  Pre-design research includes precedent study, programming, site analysis, and formulation of a thesis to be investigated through the design process.  Preliminary design work begins with conceptual studies, and culminates in a coherent schematic design, to be developed further in Senior Architectural Design, Part II.  Students present their work in graphic, oral, and written formats. (HARC 0330 or equivalent) 6 hrs. sem. ",HARC0731A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Thesis in Architectural Studies: Research,,History of Art & Architecture ,1:30pm-4:15pm,"Johnson Memorial Building 204 (JHN 204)
		",,"
This studio course constitutes the first part of the two-term senior design project in Architectural Studies.  Pre-design research includes precedent study, programming, site analysis, and formulation of a thesis to be investigated through the design process.  Preliminary design work begins with conceptual studies, and culminates in a coherent schematic design, to be developed further in Senior Architectural Design, Part II.  Students present their work in graphic, oral, and written formats. (HARC 0330 or equivalent) 6 hrs. sem. ",HARC0731B-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Introductory Modern Hebrew I,LNG ,Modern Hebrew ,8:40am-9:30am,"Twilight Hall 204 (AXT 204)
		",Michal Strier ,"
In this course students will become acquainted with the basic grammatical and formal concepts necessary for the comprehension of the Modern Hebrew language. We will focus on the fundamentals of reading, writing, listening, and speaking, with a particular emphasis placed on the acquisition of conversational ability. We will also make use of audiovisual, situational, and cultural exercises, and give attention to the elements of Classical form and style that provided a foundation for Modern Hebrew, which was revived as a vernacular in the late 19th century. No previous knowledge of Hebrew is required. 6 hrs. ",HEBM0101A-F23,"Monday, Wednesday, Friday at AXT 204 (Sep 11, 2023 to Dec 11, 2023)
9:45am-11:00am on Tuesday, Thursday at AXT 204 (Sep 11, 2023 to Dec 11, 2023)"
Intermediate Modern Hebrew I,LNG ,Modern Hebrew ,9:45am-10:35am,"Twilight Hall 204 (AXT 204)
		",Michal Strier ,"
This course is a continuation of HEBM 0103.  By engaging with topics about Israeli society and culture and by using authentic materials and different media, students will strengthen their intermediate level of communicative competence – reading, writing, listening, and speaking – and gain a deeper understanding of Israeli popular culture and politics. Topics will vary depending on students’ interest. (HEBM 0103 or placement test) 5 hrs. lect/disc ",HEBM0201A-F23,"Monday, Wednesday, Friday at AXT 204 (Sep 11, 2023 to Dec 11, 2023)
11:15am-12:30pm on Tuesday, Thursday at AXT 204 (Sep 11, 2023 to Dec 11, 2023)"
The Origins of the Israeli-Palestinian Conflict,CMP MDE SOC ,Modern Hebrew ,9:45am-11:00am,"Axinn Center 220 (AXN 220)
		",Adi Livny ,"
When did the Jewish-Arab conflict begin? This survey course considers several different moments of its birth, such as the 1880s first wave of Zionist immigrants to Palestine, the 1917 Balfour Declaration, the 1948 and 1967 war and the 1964 establishment of the Palestine Liberation Organization (PLO) and other landmark moments. Based on secondary literature and primary textual and visual materials, we will engage with these competing periodizations and analyze various Israeli and Palestinian historical narratives they embody, considering broader themes such as the relations between the historian’s identity and the production of historical narratives, and the dynamic between facts, narratives and ideologies. 3 hrs. lect. ",HEBM0237A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
The Making of Europe,EUR HIS SOC ,History ,9:45am-10:35am,"Munroe Hall 406 (MNR 406)
		",Louisa Burnham ,"
This course covers the history of Western Europe from the death of Caesar in 44 B.C. to the Peace of Westphalia in A.D. 1648. We will examine three interrelated themes: political authority within European society, the development of the religious culture of the West and the challenges to that culture, and the ways in which the development of a European economy contributed to the making of Europe itself. While examining these questions from the Roman Empire to early modern Europe, students will focus on the use of original sources, and on how historians interpret the past. Pre-1800. Not open to seniors. 2 hrs. lect./1 hr. disc. ",HIST0103A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
"Themes in the Atlantic World, 1492-1900",CMP HIS SOC ,History ,11:15am-12:30pm,"Axinn Center 219 (AXN 219)
		",Darien Davis ,"
Linking the Americas with Europe and Africa, the Atlantic has been a major conduit for the movement of peoples, ideas, technology, foods, and customs.  This course will explore four themes from the rise of European imperialism and African Slavery to the dawn of national consciousness and minority rights across the Americas. We will study four major themes: (1). Comparative European Colonization and the First Peoples; 2) Comparative Slavery and the Black Experience (3) Decolonization, National Consciousness, and Ideas of Freedom; and (4) Pseudoscience, Migrations and Creolization. We will draw on primary and secondary sources from the Anglophone, Francophone, Lusophone, and Hispanophone worlds to give us a broad comparative perspective. Pre-1800. 2hr/disc. with periodic film screenings. ",HIST0105A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
History of Africa To 1800,AAL HIS SAF SOC ,History ,9:45am-11:00am,"Axinn Center 103 (AXN 103)
		",Jacob Tropp ,"
This course offers an introductory survey of African history from earliest times to 1800.  Through lectures, discussions, readings, and films, we will explore Africa’s complex and diverse pre-colonial past.  Themes examined in the course include development of long-distance trade networks, the linkages between ecological change and social dynamics, the formation of large pre-colonial states, and the transatlantic slave trade and its impact on social and economic relations within Africa.  A broader concern in the course is how we have come to understand the meaning of “Africa” itself and what is at stake in interpreting Africa’s pre-colonial history.  Pre-1800. 3 hrs. lect./disc. ",HIST0113A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
History of Rome,EUR HIS LIT ,History ,1:10pm-2:00pm,"Twilight Hall 201 (AXT 201)
		",Jane Chaplin ,"
This course is an introductory survey of Roman history, from the emergence of the Republic to the influence of Rome on the western world. In the first half of the course we will study the origins of Rome's rise to dominance, the conquest of the Mediterranean and its effect on Roman society, and the crumbling of political structures under the weight of imperial expansion.  In the second half, we will study the empire more broadly, starting with the emperors and moving out to the daily lives of people around the Mediterranean.  The course will end with the importance of Rome for the Founding Fathers.  We will read from authors including Polybius, Plutarch, Appian, Caesar, Suetonius, Tacitus, Juvenal, and Pliny.  2 hrs. lect./1 hr. disc. ",HIST0132A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
The United States and the World Since 1898,AMR HIS ,History ,9:45am-11:00am,"Axinn Center 109 (AXN 109)
		",Joyce Mao ,"
This course serves as an introduction to the history of American foreign relations from the Spanish-American War of 1898 to the turn of the 21st century. Through lectures, discussions, and a variety of readings, we will explore the multi-dimensional nature of the nation's rise to power within the global community, as well as the impact of international affairs upon American society. In addition to formal diplomacy and foreign policy, this course addresses topics such as immigration, cultural exchange, transnationalism, and globalization. 2 hrs. lect./1 hr. disc. ",HIST0206A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Blood & Money: History of Early US Capitalism,AMR HIS NOR ,History ,9:45am-10:35am,"Axinn Center 100 (AXN 100)
		",Elsa Mendoza ,,HIST0207A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
United States Environmental History: Nature and Inequality,AMR HIS NOR ,History ,9:45am-10:35am,"Munroe Hall 409 (MNR 409)
		",Kathryn Morse ,"
In this course we will study the interactions between diverse groups and their physical environments to understand how humans have shaped and in turn been shaped by the material world.  Topics include:  ecological change with European conquest; industrialization and race and class differences in labor, leisure, and ideas of “nature”; African American environments South and North; the capitalist transformation of the American West, rural and urban;  Progressive conservation and its displacement of Native Americans and other rural groups;  chemical- and petroleum-based technologies and their unexpected consequences; and the rise of environmentalism and its transformation by issues of inequality and justice. 3 hrs. lect./disc. ",HIST0222A-F23,"Monday, Wednesday, Friday (Sep 11, 2023 to Dec 11, 2023)"
United States Environmental History: Nature and Inequality,AMR CW HIS NOR ,History ,8:40am-9:30am,"Munroe Hall 409 (MNR 409)
		",Kathryn Morse ,"
In this course we will study the interactions between diverse groups and their physical environments to understand how humans have shaped and in turn been shaped by the material world.  Topics include:  ecological change with European conquest; industrialization and race and class differences in labor, leisure, and ideas of “nature”; African American environments South and North; the capitalist transformation of the American West, rural and urban;  Progressive conservation and its displacement of Native Americans and other rural groups;  chemical- and petroleum-based technologies and their unexpected consequences; and the rise of environmentalism and its transformation by issues of inequality and justice. 3 hrs. lect./disc. ",HIST0222B-F23,"Monday, Wednesday, Friday (Sep 11, 2023 to Dec 11, 2023)"
Chinese Philosophy,AAL HIS NOA PHL ,History ,11:15am-12:30pm,"Sunderland Lanuage Ctr 110 (SDL 110)
		",Don Wyatt ,"
A survey of the dominant philosophies of China, beginning with the establishment of the earliest intellectual orientations, moving to the emergence of the competing schools of the fifth century B.C., and concluding with the modern adoption and adaptation of Marxist thought. Early native alternatives to Confucian philosophy (such as Mohism, Daoism, and Legalism) and later foreign ones (such as Buddhism and Marxism) will be stressed. We will scrutinize individual thinkers with reference to their philosophical contributions and assess the implications of their ideas with reference to their historical contexts and comparative significance. Pre-1800. 3 hrs. lect./disc. ",HIST0237A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
History of Pakistan,CW HIS SOA ,History ,1:30pm-4:15pm,"Axinn Center 220 (AXN 220)
		",Ian Barrow ,"
This course is a political and cultural history of Pakistan. Topics to be discussed include: the pre-independence demand for Pakistan; the partitioning of India in 1947; literary and cultural traditions; the power of the army in politics; the civil war that created Bangladesh; the wars with India; the wars in Afghanistan; the rise of Islamist parties and militant groups; the significance of the Taliban and al Qaeda; and Pakistan's relations with the US, China and India. Readings will include histories, autobiographies, novels, and newspaper and magazine accounts. Several documentary films will also be shown. 3 hrs. lect./disc. ",HIST0240A-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
Chicagoland,AMR HIS ,History ,11:15am-12:30pm,"Gifford LCT (GFD LCT)
		",Jim Ralph Tim Spears ,"
In this course we will explore Chicago’s significance by focusing on its physical and spatial character. Moving from the 19th to the 21st century, we will examine the 1871 fire; the 1893 World’s Fair; the settlement house movement; the rise of modern architecture; the emergence of Black Chicago and development of a multi-ethnic, multi-class metropolis spread across various neighborhoods and suburbs; and recent planning efforts to revitalize the city as a space for all Chicagoans. Interdisciplinary in scope, the course will draw on a range of texts and theoretical perspectives to show the generative importance of Chicago’s rich and varied landscape. 3 hrs. lect. ",HIST0264A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
South Africa in the World,AAL HIS SAF SOC ,History ,2:15pm-3:30pm,"Munroe Hall 409 (MNR 409)
		",Jacob Tropp ,"
Despite the unique trajectory of the rise and fall of apartheid in South Africa, scholars have increasingly moved away from viewing the country’s past as exceptional or isolated from broader world historical developments.  Taking up this challenge, our course will explore some of the significant global and transnational dimensions of the making of modern South Africa over the past few centuries.  Some of the major topics will include: the expansion of different strands of European colonialism and missionary work; Africans’ engagement with transnational imperial networks; the wider international influences behind the state’s creation and implementation of apartheid; and popular resistance against apartheid and how it intersected with global activist movements.  3 hrs. lect./disc ",HIST0317A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
"Chinatown, USA",AMR CMP HIS SOC ,History ,1:30pm-4:15pm,"Library 230 (LIB 230)
		",Joyce Mao ,"
From San Francisco to New York, Honolulu to Houston, there are Chinatowns located across the United States. In this seminar we will explore the histories of these communities from the Gold Rush through the 20th century. Our discussions will be founded upon secondary scholarship such as The China-town Trunk Murder Mystery by Mary Ting Yi Lui and Mae Ngai’s The Lucky Ones, as well as primary texts like immigrant accounts, magazines and newspapers, photography, maps, and Hollywood movies. Throughout, we will engage with Chinatowns as spaces shaped by both domestic and transnational contexts, each site and its development illuminating the evolution of a globalized America. Our overarching goal is to understand local/micro history as national and international history. ",HIST0318A-F23,"Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Christians in the Modern Middle East,AAL HIS MDE SOC ,History ,8:15am-9:30am,"Axinn Center 229 (AXN 229)
		",Febe Armanios ,"
In the Middle East, Christians have faced fast-paced political, economic, and religious transformations.  Focusing on indigenous communities such as Copts, Greek Orthodox, Armenians, Assyrians, and Maronites, we will explore Christianity’s place in the region, from the nineteenth century up to the present.  Against the backdrop of a waning Ottoman Empire, mounting European colonialism, and the rise of nationalism and Islamism, we will investigate Christians’ status as minorities, who have at times been privileged and at other times been marginalized, exiled, and shunned.  We will also pay attention to the ways in which Western governments and Christian missionaries have transformed the lives of Middle Eastern Christians in their quest for evangelism, apocalypticism, and regional domination.  Class sources will include memoirs, novels, and films.  3 hrs. lect./disc. ",HIST0339A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
"Medieval Science, Technology and Magic",EUR HIS SOC ,History ,2:15pm-3:30pm,"Robert A. Jones '59 House CON (RAJ CON)
		",Louisa Burnham ,"
Modern understanding may link science with technology, but leaves magic out as a world apart. In the Medieval West, where alchemy and the astrolabe comfortably shared a workroom, intellectuals pursued both with equal fervor and respectability. In this course we will explore the medieval meanings and context of “science” and “magic,” developments in technology, and the relationship of authority and religion to all three through readings in primary sources, critical essays and monographs, and Umberto Eco's historical novel, The Name of the Rose. Students will contribute to class understanding with frequent individual research, including a final research paper. Pre-1800 (Counts for HSMT credit) 3 hrs. lect./dsc. ",HIST0346A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Colonial Commodities & Slavery in the Americas,AMR CMP HIS SOC ,History ,2:15pm-3:30pm,"Axinn Center 229 (AXN 229)
		",Elsa Mendoza ,"
In this course, we will examine the development of extractive economies and the relationship between colonialism, consumption, and forced labor in colonial north and South America. Using a comparative approach, we will survey how commodities such as cacao, cotton, coffee, gold, silver, sugar, and tobacco shaped African and Native slavery across the continent. Our topics will include the development of price systems for enslaved people and goods in the world economy, the emergence of ideas regarding racial differences and their relationship with forced labor, how enslaved people resisted their enslavement, and the abolition of slavery across the Americas.
Students will examine primary sources such as financial records, slave narratives, historical price indexes, and scholarly monographs. Pre-1800. 3 hr sem. ",HIST0377A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Mapping Migrations in the Modern Era,AMR CMP HIS SOC ,History ,2:15pm-3:30pm,"Axinn Center 105 (AXN 105)
		",Darien Davis ,"
In this course, we will study the scientific, medical, and technological histories that shaped modern migration and migration policy in the European Atlantic and the Americas. The experiences of African-descendants and other colonized subjects will allow us to understand the ‘migration industry complex.’ We will analyze pseudoscientific notions about race, gender, and social order under Empire, and their impact on enslaved and indentured labor migrants to/from and across the Americas. We will uncover the epidemiological aspects of migration in places transformed by multinational technological capitalist projects in countries such as Brazil and Panama. We will also study medical practices in migration processing centers and the relationship between migration and mental health using case studies including exiles and climate migrants in the contemporary period. (Counts for HSMT credit) ",HIST0413A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Police Power: Theory and History,EUR HIS SOC ,History ,1:30pm-4:15pm,"Le Chateau 109 (CHT 109)
		",Max Ward ,"
As Egon Bittner once stated, the police are “at once the best known and the least understood” of the institutions of modern government.  In this seminar students begin by reading introductions to theories of modern state power, and then turn to exploring how the police manifest this power at the local level. In the second half of the semester, we will read histories of police forces with special emphasis on the formation of the police in East Asia. We conclude by reviewing recent theories of the police for the twenty-first century.  3 hrs. sem. ",HIST0461A-F23,"Tuesday (Sep 11, 2023 to Dec 11, 2023)"
"Nuclear Cold War: Americans, Soviets and the Fate of the World",CMP EUR HIS ,History ,12:45pm-2:00pm,"Axinn Center 220 (AXN 220)
		",Rebecca Mitchell ,"
Fears of nuclear Armageddon gripped the world after 1945. How is it that nuclear war never broke out by the time the Soviet Union dissolved in 1991? This course traces the complex relationship between nuclear security, international relations, and domestic politics through the initial development of nuclear weapons, Cold War arms race, emergence of independent Russia, and contemporary tensions. How did shifting social and political environments shape nuclear security concerns? Why, despite the end of the ideological Cold War, did the early 21st century witness the collapse of bilateral arms control and nonproliferation cooperation between Russia and the USA? This course is part of the Public Humanities Labs Initiative administered by the Axinn Center for the Humanities.* ",HIST0465A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Writing History,CW ,History ,1:30pm-4:15pm,"Wright Memorial Theater SEM (WTH SEM)
		",Febe Armanios Don Wyatt ,"
In this course students discuss historical methods and writing strategies to create convincing historical narratives. With the approval and guidance of the professor, students complete a 20-25-page research paper based on primary and secondary sources. Students take this course in the fall of their junior year or with permission in the spring.  If students are away for the entire junior year, they can take the course in the fall of their senior year. 3 hr. sem. ",HIST0600A-F23,"Tuesday (Sep 11, 2023 to Dec 11, 2023)"
Introduction to International and Global Studies,CMP ,International & Global Studies ,12:45pm-2:00pm,"Twilight Hall AUD (AXT AUD)
		",Amit Prakash ,"
This is the core course of the International and Global Studies major. It is an introduction to key international issues and problems that will likely feature prominently in their courses at Middlebury and study abroad. Issues covered will differ from year to year, but they may include war, globalization, immigration, racism, imperialism, nationalism, world organizations, non-governmental organizations, the European Union, the rise of East Asia, politics and society in Latin America, and anti-Americanism. 3 hrs. lect./disc. ",IGST0101A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
"Foundations of European Studies: Texts, Contexts, and Legacies",EUR ,International & Global Studies ,9:45am-11:00am,"Munroe Hall 317 (MNR 317)
		",Erik Bleich ,"
In this course we will review major texts that serve as a foundation for understanding core aspects of European societies. Covering the period from the Hebrew Bible to Dante’s Inferno, we will read works of religion, literature, philosophy, and politics such as Homer’s Odyssey, Plato’s Republic, Virgil’s Aeneid, the Christian Bible, Beowulf, an Icelandic Saga, and Marco Polo’s Travels. We will focus on the context in which these texts were written and the legacies they produced for understanding Europe as a region, discussing themes such as friendship, loyalty, family, home, gender roles, slavery, power relations, and the definition of Europe itself. 3 hrs. sem. ",IGST0144A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
The Origins of the Israeli-Palestinian Conflict,CMP MDE SOC ,International & Global Studies ,9:45am-11:00am,"Axinn Center 220 (AXN 220)
		",Adi Livny ,"
When did the Jewish-Arab conflict begin? This survey course considers several different moments of its birth, such as the 1880s first wave of Zionist immigrants to Palestine, the 1917 Balfour Declaration, the 1948 and 1967 war and the 1964 establishment of the Palestine Liberation Organization (PLO) and other landmark moments. Based on secondary literature and primary textual and visual materials, we will engage with these competing periodizations and analyze various Israeli and Palestinian historical narratives they embody, considering broader themes such as the relations between the historian’s identity and the production of historical narratives, and the dynamic between facts, narratives and ideologies. 3 hrs. lect. ",IGST0237A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Leadership,CMP SOC ,International & Global Studies ,11:15am-12:30pm,"Robert A. Jones '59 House CON (RAJ CON)
		",Nadia Horning ,"
What is leadership, and what does good leadership require? In this course we will investigate these important questions, focusing on today’s world context. Examples from politics, business, and community organization around the world will guide our inquiry, help us evaluate the quality of leadership affecting us and others, and enable us to assess our own leadership potential. To achieve these course goals, we will analyze real-world examples of good and poor leadership from around the world, compare across leadership cases, and assess leadership examples against theories of leadership in business, political science, history, and psychology. Class discussions, in-class simulations, short lectures, individual research projects, and oral presentations will inform our learning experience while reflection papers, individual research projects, individual oral presentations, and class participation will help gauge student learning. ",IGST0407A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Ecocriticism and Global Environmental Justice,,International & Global Studies ,1:30pm-4:15pm,"Munroe Hall 416 (MNR 416)
		",Kemi Fuentes-George ,"
Many global environmental problems—climate change, biodiversity, deforestation, clean water, and transboundary waste movement—are ineffectively managed.  In this course we will take a critical look at these failures and ask: do existing norms and attitudes make effective, sustainable environmental management more difficult?  In doing so, we will examine institutions and phenomena such as the sovereign nation-state, free market capitalism, and the authority of scientific knowledge. We will ask whether sustainable management is compatible with these institutions and phenomena, or whether they contribute to environmental injustice, racism, political marginalization, and gender and class inequity by studying contemporary and historic examples. 3 hrs. sem. (International Relations and Foreign Policy)/ ",IGST0452A-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
Posse Scholars Leadership Development,,Interdepartmental ,1:10pm-2:00pm,"McCardell Bicentennial Hall 216 (MBH 216)
		",Susan Watson ,"
This course is designed to promote the intellectual, social, and civic development of first-year Posse scholars, both individually and as a group. Students will attend weekly workshops drawing from the Posse Foundation’s leadership curriculum. Workshops will also draw on the instructor’s areas of expertise and will focus on topics most pertinent to students’ goals and needs. Some workshops will include guest lectures, experiential learning, and student-facilitated discussion.  Students will reflect on their learning in bi-weekly meetings with the instructor, as well as in writing.  They will also identify initiatives or projects they wish to promote on campus or in the local community, applying what they have learned. (This course is not open to first-year students.) (This is a half credit course.) ",INTD0109A-F23,"Friday (Sep 11, 2023 to Dec 11, 2023)"
Posse Scholars Leadership Development,,Interdepartmental ,4:30pm-5:20pm,Main Campus: OFFM  (Off Campus),Shawna Shapiro ,"
This course is designed to promote the intellectual, social, and civic development of first-year Posse scholars, both individually and as a group. Students will attend weekly workshops drawing from the Posse Foundation’s leadership curriculum. Workshops will also draw on the instructor’s areas of expertise and will focus on topics most pertinent to students’ goals and needs. Some workshops will include guest lectures, experiential learning, and student-facilitated discussion.  Students will reflect on their learning in bi-weekly meetings with the instructor, as well as in writing.  They will also identify initiatives or projects they wish to promote on campus or in the local community, applying what they have learned. (This course is not open to first-year students.) (This is a half credit course.) ",INTD0109B-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
Posse Scholars Leadership Development,,Interdepartmental ,4:30pm-5:20pm,Main Campus: OFFM  (Off Campus),Jason Duquette-Hoffman ,"
This course is designed to promote the intellectual, social, and civic development of first-year Posse scholars, both individually and as a group. Students will attend weekly workshops drawing from the Posse Foundation’s leadership curriculum. Workshops will also draw on the instructor’s areas of expertise and will focus on topics most pertinent to students’ goals and needs. Some workshops will include guest lectures, experiential learning, and student-facilitated discussion.  Students will reflect on their learning in bi-weekly meetings with the instructor, as well as in writing.  They will also identify initiatives or projects they wish to promote on campus or in the local community, applying what they have learned. (This course is not open to first-year students.) (This is a half credit course.) ",INTD0109C-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
"Accounting, Budgeting, and the Liberal Arts",,Interdepartmental ,8:15am-9:30am,"Axinn Center 219 (AXN 219)
		",Anne-Marie Magri ,"
Accounting is the lingua franca of commercial and financial activity, and applies equally to corporations, non-profits, and governments. In this course we will learn the basic concepts and standards underlying the accounting language including: revenue recognition, inventory, long-lived assets, present value, long-term liabilities, and financial statements. We then turn to the application and use of accounting information in forecasting, operating, and measuring an enterprise. These managerial accounting concepts are used to develop budgets and evaluate results. Our understanding of accounting and financial statements is needed to understand how business interrelates with society. The major course project will be developing an Excel financial model; no prior Excel experience required. 3 hrs. lect., 3 hr. lab (not open to students who have taken INTD 0316). ",INTD0116A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Introduction to Business and Enterprise,SOC ,Interdepartmental ,9:45am-11:00am,"Axinn Center 100 (AXN 100)
		",Amitava Biswas ,"
This course provides students who have little to no background in business with a broad overview of business and enterprise in the economy. Students will learn about types of enterprises and a functional framework for understanding a business, including strategy, finance, production, and marketing.  This framework will be used to analyze various businesses and non-profits, exploring the advantages and disadvantages of various structures. The course will give overviews of accounting and entrepreneurship, and explore policy and philosophical debates about the morality of for-profit business and the need for corporate responsibility. 3 hrs. lect. ",INTD0120A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Community Connected Learning,,Interdepartmental ,2:15pm-3:30pm,Main Campus: OFFM  (Off Campus),Kristen Mullins ,"
Community-connected learning supports civic knowledge cultivation, skill building, and identity development. In this course students will apply their relevant coursework to place-based contexts by collaborating with community partners independently or in groups to complete a community-connected learning project that will contribute to the public good. Center for Community Engagement (CCE) instructors will meet with students weekly in cohorts to explore the social and other issues raised in their experiences. Final projects may take a variety of forms, such as a portfolio, media production, or paper. Students should contact the course instructor to discuss, confirm and/or receive assistance in identifying a community partner and to begin to define their projects. 3 hrs. lect. ",INTD0121A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Compass: Foundations for the Road Ahead,,Interdepartmental ,12:00pm-2:45pm,"Axinn Center 219 (AXN 219)
		",Robert Moeller ,"
The transition to college coincides with a range of increased developmental expectations and challenges. Some essential developmental tasks are exploring interests, building relationships, solidifying identities, and creating pathways to a life of meaning. In addition, mastering the college experience includes gaining and applying new skills to increasingly complex contexts. Utilizing literature from Psychology and Education, we will explore critical developmental tasks and associated skills that drive healthy outcomes for college-age students. We will then work collaboratively to begin honing essential skills and practice applying them over the semester.  Through written assignments, projects, and presentations, students will leave the course prepared to experience their liberal arts education with greater intention and be better prepared to live engaged, consequential, and creative lives. (Open to first semester, first year students.) ",INTD0150A-F23,"Friday (Sep 11, 2023 to Dec 11, 2023)"
Community Connected Experiential Learning Capstone,,Interdepartmental ,7:30pm-10:25pm,Main Campus: OFFM  (Off Campus),James Calvin Davis ,"
In this course students who have completed Middlebury-sponsored experiential learning opportunities will reflect on their experiences, identify key learning outcomes, and integrate that learning into their ongoing academic inquiry. They will identify the civic competencies developed through their experience, as well as the ways in which they have strengthened civic identity, cultivated their civic knowledge, and built their civic skills. In a project-based cohort, students will complete a summative public product that illustrates their evidence of learning. (This is a half credit course.) ",INTD0204A-F23,"Wednesday (Sep 11, 2023 to Dec 11, 2023)"
"Marketing: Formulation, Methods, and Research",,Interdepartmental ,2:15pm-3:30pm,"Axinn Center 219 (AXN 219)
		",Amitava Biswas ,"
Marketing is both a qualitative and a quantitative discipline.  It is one of the rare business fields that actively draws upon and integrates the creative and analytical components of the liberal arts tradition.  In this course students will be exposed to a broad overview of marketing principles, focusing on the application of marketing theory to for-profit, not-for-profit, and the public sectors. Cause marketing and social marketing techniques will also be discussed to determine their utility in combating social ills and promoting favorable public health behaviors and outcomes.  As the implementation of marketing programs is undergoing a massive transformation from conventional to digital media, students will be exposed to digital designing and marketing, which are driven by a sound understanding of consumer segmentation, brand positioning, distinct product benefits, and relevant in-market executions. (INTD 0120) Introductory statistics course recommended. 3 hrs. lect. ",INTD0205A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
